target,municipio,semanas,testes,positivos,notificacoes,obitos,positividade_media,incidencia_media_100k,risco_max
baciloscopia,SANTO ANTONIO DO LEVERGER,1,1,1,0.0,0.0,1.0,6.559097468188377,0.07961264780405415
baciloscopia,SINOP,33,62,62,32.0,1.0,1.0,0.9945371304787364,1.9757480419227864
baciloscopia,VARZEA GRANDE,49,62,62,227.0,18.0,1.0,0.42123186105967597,2.0823358718333242
bacteremia_bact_rias_cultura,ARIPUANA,1,2,0,0.0,0.0,0.0,0.0,0.05382992328265769
bacteremia_bact_rias_cultura,CACERES,2,2,0,0.0,0.0,0.0,0.0,0.01077642877252243
bacteremia_bact_rias_cultura,CUIABA,9,27,0,0.0,0.0,0.0,0.0,0.701560760020114
bacteremia_bact_rias_cultura,DIAMANTINO,1,1,0,0.0,0.0,0.0,0.0,0.0
bacteremia_bact_rias_cultura,IPIRANGA DO NORTE,1,1,0,0.0,0.0,0.0,0.0,0.0
bacteremia_bact_rias_cultura,NORTELANDIA,1,1,0,0.0,0.0,0.0,0.0,0.0
bacteremia_bact_rias_cultura,NOVA MARILANDIA,2,2,0,0.0,0.0,0.0,0.0,0.0
bacteremia_bact_rias_cultura,NOVA MUTUM,1,2,0,0.0,0.0,0.0,0.0,0.0
bacteremia_bact_rias_cultura,PONTES E LACERDA,2,4,0,0.0,0.0,0.0,0.0,0.0
bacteremia_bact_rias_cultura,PORTO ALEGRE DO NORTE,1,2,0,0.0,0.0,0.0,0.0,0.08777804757882886
bacteremia_bact_rias_cultura,RONDONOPOLIS,1,1,0,0.0,0.0,0.0,,0.0
bacteremia_bact_rias_cultura,SAO JOSE DO XINGU,1,2,0,0.0,0.0,0.0,0.0,0.10040118595157664
bacteremia_bact_rias_cultura,SAO JOSE DOS QUATRO MARCOS,1,1,0,0.0,0.0,0.0,0.0,0.0
bacteremia_bact_rias_cultura,SAPEZAL,1,1,0,0.0,0.0,0.0,0.0,0.0
bacteremia_bact_rias_cultura,SORRISO,1,1,0,0.0,0.0,0.0,,0.0
bacteremia_bact_rias_cultura,VARZEA GRANDE,5,7,0,0.0,0.0,0.0,0.0,0.30618621784789735
bacteremia_bact_rias_identifica_o,AGUA BOA,1,1,0,0.0,0.0,0.0,,0.0
bacteremia_bact_rias_identifica_o,ALTO BOA VISTA,1,1,0,0.0,0.0,0.0,,0.1979444819819821
bacteremia_bact_rias_identifica_o,CUIABA,2,3,0,0.0,0.0,0.0,0.0,0.168625
bacteremia_bact_rias_identifica_o,NOVA MARILANDIA,1,2,0,0.0,0.0,0.0,0.0,0.0
bacteremia_bact_rias_identifica_o,SAO JOSE DO POVO,1,1,0,0.0,0.0,0.0,,0.021652551379504583
bacteremia_bact_rias_identifica_o,SINOP,2,2,0,0.0,0.0,0.0,0.0,0.0
bacteremia_bact_rias_identifica_o,VARZEA GRANDE,3,3,0,0.0,0.0,0.0,0.0,0.0
bacteremia_bact_rias_teste_de_sensibilidade,ALTO BOA VISTA,1,1,0,0.0,0.0,0.0,,0.1979444819819821
bacteremia_bact_rias_teste_de_sensibilidade,ARIPUANA,1,2,0,0.0,0.0,0.0,0.0,0.05382992328265769
bacteremia_bact_rias_teste_de_sensibilidade,CACERES,2,2,0,0.0,0.0,0.0,0.0,0.01077642877252243
bacteremia_bact_rias_teste_de_sensibilidade,CUIABA,8,29,0,0.0,0.0,0.0,0.0,1.25
bacteremia_bact_rias_teste_de_sensibilidade,DIAMANTINO,1,1,0,0.0,0.0,0.0,0.0,0.0
bacteremia_bact_rias_teste_de_sensibilidade,NORTELANDIA,1,1,0,0.0,0.0,0.0,0.0,0.0
bacteremia_bact_rias_teste_de_sensibilidade,NOVA MARILANDIA,1,2,0,0.0,0.0,0.0,0.0,0.0
bacteremia_bact_rias_teste_de_sensibilidade,NOVA MUTUM,1,2,0,0.0,0.0,0.0,0.0,0.0
bacteremia_bact_rias_teste_de_sensibilidade,PONTES E LACERDA,2,3,0,0.0,0.0,0.0,0.0,0.168625
bacteremia_bact_rias_teste_de_sensibilidade,PORTO ALEGRE DO NORTE,1,2,0,0.0,0.0,0.0,0.0,0.08777804757882886
bacteremia_bact_rias_teste_de_sensibilidade,RONDONOPOLIS,1,2,0,0.0,0.0,0.0,,0.0
bacteremia_bact_rias_teste_de_sensibilidade,SAO JOSE DO POVO,1,1,0,0.0,0.0,0.0,,0.021652551379504583
bacteremia_bact_rias_teste_de_sensibilidade,SAO JOSE DO XINGU,1,2,0,0.0,0.0,0.0,0.0,0.10040118595157664
bacteremia_bact_rias_teste_de_sensibilidade,SAO JOSE DOS QUATRO MARCOS,1,1,0,0.0,0.0,0.0,0.0,0.0
bacteremia_bact_rias_teste_de_sensibilidade,SINOP,2,2,0,0.0,0.0,0.0,0.0,0.0
bacteremia_bact_rias_teste_de_sensibilidade,SORRISO,1,1,0,0.0,0.0,0.0,,0.0
bacteremia_bact_rias_teste_de_sensibilidade,VARZEA GRANDE,4,6,0,0.0,0.0,0.0,0.0,0.168625
bacteremia_bact_rias_teste_de_sensibilidade_ii,CACERES,1,1,0,0.0,0.0,0.0,0.0,0.01077642877252243
bacteremia_bact_rias_teste_de_sensibilidade_ii,CUIABA,4,5,0,0.0,0.0,0.0,0.0,0.43301270189221935
bacteremia_bact_rias_teste_de_sensibilidade_ii,NOVA MARILANDIA,1,2,0,0.0,0.0,0.0,0.0,0.0
bacteremia_bact_rias_teste_de_sensibilidade_ii,NOVA MUTUM,1,2,0,0.0,0.0,0.0,0.0,0.0
bacteremia_bact_rias_teste_de_sensibilidade_ii,PONTES E LACERDA,2,3,0,0.0,0.0,0.0,0.0,0.168625
bacteremia_bact_rias_teste_de_sensibilidade_ii,PORTO ALEGRE DO NORTE,1,2,0,0.0,0.0,0.0,0.0,0.08777804757882886
bacteremia_bact_rias_teste_de_sensibilidade_ii,SAO JOSE DO XINGU,1,2,0,0.0,0.0,0.0,0.0,0.10040118595157664
bacteremia_bact_rias_teste_de_sensibilidade_ii,SAO JOSE DOS QUATRO MARCOS,1,1,0,0.0,0.0,0.0,0.0,0.0
bacteremia_bact_rias_teste_de_sensibilidade_ii,VARZEA GRANDE,3,4,0,0.0,0.0,0.0,0.0,0.3535533905932738
bacteremia_criptococos,NOVA MUTUM,1,1,0,0.0,0.0,0.0,0.0,0.0
bacteremia_fungos,CACERES,1,1,0,0.0,0.0,0.0,0.0,0.01077642877252243
bacteremia_histoplasmose,NOVA MUTUM,1,1,0,0.0,0.0,0.0,0.0,0.0
bacteremia_parvov_rus_b19_biologia_molecular,NOVA MUTUM,1,1,0,0.0,0.0,0.0,0.0,0.0
bacteremia_parvov_rus_b19_igg,NOVA MUTUM,1,1,0,0.0,0.0,0.0,0.0,0.0
bacteremia_parvov_rus_b19_igm,NOVA MUTUM,1,1,0,0.0,0.0,0.0,0.0,0.0
bacteremia_pesquisa_de_carbapenemases,VARZEA GRANDE,1,1,0,0.0,0.0,0.0,0.0,0.0
bacteremia_pesquisa_de_genes_de_resist_ncia,ALTO BOA VISTA,1,1,0,0.0,0.0,0.0,,0.1979444819819821
bacteremia_pesquisa_de_genes_de_resist_ncia,ARIPUANA,1,1,0,0.0,0.0,0.0,0.0,0.05382992328265769
bacteremia_pesquisa_de_genes_de_resist_ncia,BARRA DO BUGRES,1,1,0,0.0,0.0,0.0,0.0,0.0017327737894144602
bacteremia_pesquisa_de_genes_de_resist_ncia,CACERES,1,1,0,0.0,0.0,0.0,0.0,0.01077642877252243
bacteremia_pesquisa_de_genes_de_resist_ncia,CUIABA,6,8,0,0.0,0.0,0.0,0.0,0.3535533905932738
bacteremia_pesquisa_de_genes_de_resist_ncia,NOVA MARILANDIA,1,2,0,0.0,0.0,0.0,0.0,0.0
bacteremia_pesquisa_de_genes_de_resist_ncia,NOVA MUTUM,1,2,0,0.0,0.0,0.0,0.0,0.0
bacteremia_pesquisa_de_genes_de_resist_ncia,PONTES E LACERDA,2,4,0,0.0,0.0,0.0,0.0,0.0
bacteremia_pesquisa_de_genes_de_resist_ncia,PORTO ALEGRE DO NORTE,1,2,0,0.0,0.0,0.0,0.0,0.08777804757882886
bacteremia_pesquisa_de_genes_de_resist_ncia,RONDONOPOLIS,1,2,0,0.0,0.0,0.0,,0.0
bacteremia_pesquisa_de_genes_de_resist_ncia,SAO JOSE DO XINGU,1,2,0,0.0,0.0,0.0,0.0,0.10040118595157664
bacteremia_pesquisa_de_genes_de_resist_ncia,SAO JOSE DOS QUATRO MARCOS,1,1,0,0.0,0.0,0.0,0.0,0.0
bacteremia_pesquisa_de_genes_de_resist_ncia,SINOP,1,2,0,0.0,0.0,0.0,0.0,0.0
bacteremia_pesquisa_de_genes_de_resist_ncia,VARZEA GRANDE,3,4,0,0.0,0.0,0.0,0.0,0.3535533905932738
bacteremia_pesquisa_de_multipat_genos_ist,VARZEA GRANDE,1,1,0,0.0,0.0,0.0,0.0,0.0
bacterias_cultura,JUARA,1,1,0,0.0,0.0,0.0,0.0,0.0
bacterias_teste_de_sensibilidade,AGUA BOA,2,2,2,0.0,0.0,1.0,3.282886313646958,0.0
bacterias_teste_de_sensibilidade,ARAPUTANGA,1,1,1,0.0,0.0,1.0,6.7631543351819285,0.0
bacterias_teste_de_sensibilidade,ARIPUANA,1,1,0,0.0,0.0,0.0,0.0,0.05382992328265769
bacterias_teste_de_sensibilidade,BARRA DO BUGRES,1,1,0,0.0,0.0,0.0,0.0,0.0017327737894144602
bacterias_teste_de_sensibilidade,CAMPINAPOLIS,1,1,1,0.0,0.0,1.0,6.404918977774931,0.27897658009572107
bacterias_teste_de_sensibilidade,CAMPO NOVO DO PARECIS,1,1,1,0.0,0.0,1.0,2.0821621171424405,0.0
bacterias_teste_de_sensibilidade,COLNIZA,1,1,1,0.0,0.0,1.0,3.8080731150038076,0.15800048564189215
bacterias_teste_de_sensibilidade,CUIABA,11,22,16,0.0,0.0,0.6818181818181818,0.22043450274819928,1.7233050812239812
bacterias_teste_de_sensibilidade,DENISE,1,1,0,0.0,0.0,0.0,0.0,0.0
bacterias_teste_de_sensibilidade,GAUCHA DO NORTE,1,1,1,0.0,0.0,1.0,11.188185276348175,0.07570559895833356
bacterias_teste_de_sensibilidade,ITIQUIRA,1,2,2,0.0,0.0,1.0,14.569825890580606,0.00106340090090095
bacterias_teste_de_sensibilidade,JACIARA,2,2,1,0.0,0.0,0.5,1.8053148469093008,0.2698
bacterias_teste_de_sensibilidade,JUARA,4,4,4,0.0,0.0,1.0,2.788466900897886,0.0
bacterias_teste_de_sensibilidade,JUINA,1,1,1,0.0,0.0,1.0,2.4277737314882253,0.0
bacterias_teste_de_sensibilidade,LUCAS DO RIO VERDE,5,6,5,0.0,0.0,0.8,1.1581816992453438,0.9253107140534278
bacterias_teste_de_sensibilidade,NORTELANDIA,1,1,1,0.0,0.0,1.0,16.778523489932883,0.0
bacterias_teste_de_sensibilidade,NOVA MONTE VERDE,1,1,1,0.0,0.0,1.0,11.825922421948912,0.007011799690315371
bacterias_teste_de_sensibilidade,NOVA OLIMPIA,1,1,1,0.0,0.0,1.0,6.084945843981989,0.0
