municipio,ano,populacao
SANTA RITA DO TRIVELATO,2024,3463
SANTA TEREZINHA,2024,7720
SANTO AFONSO,2024,2460
SANTO ANTONIO DO LESTE,2024,4212
SANTO ANTONIO DO LEVERGER,2024,16795
SAO FELIX DO ARAGUAIA,2024,14332
SAO JOSE DO POVO,2024,2780
SAO JOSE DO RIO CLARO,2024,14662
SAO JOSE DOS QUATRO MARCOS,2024,17830
SAO JOSE DO XINGU,2024,6168
SAO PEDRO DA CIPA,2024,4247
SAPEZAL,2024,31499
SERRA NOVA DOURADA,2024,1901
SINOP,2024,216029
SORRISO,2024,120561
TABAPORA,2024,9908
TANGARA DA SERRA,2024,112547
TAPURAH,2024,15272
TERRA NOVA DO NORTE,2024,10641
TESOURO,2024,2977
TORIXOREU,2024,4230
UNIAO DO SUL,2024,3897
VALE DE SAO DOMINGOS,2024,2907
VARZEA GRANDE,2024,314627
VERA,2024,10584
VILA BELA DA SANTISSIMA TRINDADE,2024,17384
VILA RICA,2024,19827
ACORIZAL,2025,4948
AGUA BOA,2025,32099
ALTA FLORESTA,2025,62158
ALTO ARAGUAIA,2025,17751
ALTO BOA VISTA,2025,5920
ALTO GARCAS,2025,13956
ALTO PARAGUAI,2025,7525
ALTO TAQUARI,2025,11877
APIACAS,2025,8693
ARAGUAIANA,2025,4005
ARAGUAINHA,2025,997
ARAPUTANGA,2025,14805
ARENAPOLIS,2025,10769
ARIPUANA,2025,26558
BARAO DE MELGACO,2025,7137
BARRA DO BUGRES,2025,29406
BARRA DO GARCAS,2025,73878
BOM JESUS DO ARAGUAIA,2025,7912
BRASNORTE,2025,17645
CACERES,2025,91767
CAMPINAPOLIS,2025,15808
CAMPO NOVO DO PARECIS,2025,51722
CAMPOS DE JULIO,2025,9946
CAMPO VERDE,2025,49053
CANABRAVA DO NORTE,2025,4451
CANARANA,2025,28324
CARLINDA,2025,10260
CASTANHEIRA,2025,7392
CHAPADA DOS GUIMARAES,2025,19458
CLAUDIA,2025,9301
COCALINHO,2025,6495
COLIDER,2025,32054
COLNIZA,2025,26026
COMODORO,2025,18469
CONFRESA,2025,38460
CONQUISTA D'OESTE,2025,3908
COTRIGUACU,2025,10030
CUIABA,2025,691875
CURVELANDIA,2025,4970
DENISE,2025,6675
DIAMANTINO,2025,22623
DOM AQUINO,2025,7890
FELIZ NATAL,2025,10523
FIGUEIROPOLIS D'OESTE,2025,3056
GAUCHA DO NORTE,2025,9397
GENERAL CARNEIRO,2025,6319
GLORIA D'OESTE,2025,2878
GUARANTA DO NORTE,2025,31209
GUIRATINGA,2025,10252
INDIAVAI,2025,2172
IPIRANGA DO NORTE,2025,8658
ITANHANGA,2025,8257
ITAUBA,2025,5201
ITIQUIRA,2025,12587
JACIARA,2025,29803
JANGADA,2025,7413
JAURU,2025,7881
JUARA,2025,36089
JUINA,2025,48396
JURUENA,2025,10057
JUSCIMEIRA,2025,11622
LAMBARI D'OESTE,2025,4662
LUCAS DO RIO VERDE,2025,95792
LUCIARA,2025,2616
MARCELANDIA,2025,11355
MATUPA,2025,21959
MIRASSOL D'OESTE,2025,27637
NOBRES,2025,15796
NORTELANDIA,2025,5890
NOSSA SENHORA DO LIVRAMENTO,2025,11658
NOVA BANDEIRANTES,2025,14340
NOVA BRASILANDIA,2025,3791
NOVA CANAA DO NORTE,2025,11734
NOVA GUARITA,2025,4546
NOVA LACERDA,2025,7072
NOVA MARILANDIA,2025,3731
NOVA MARINGA,2025,5705
NOVA MONTE VERDE,2025,8470
NOVA MUTUM,2025,63455
NOVA NAZARE,2025,4575
NOVA OLIMPIA,2025,16204
NOVA SANTA HELENA,2025,4502
NOVA UBIRATA,2025,9760
NOVA XAVANTINA,2025,25915
NOVO HORIZONTE DO NORTE,2025,3267
NOVO MUNDO,2025,6368
NOVO SANTO ANTONIO,2025,2041
NOVO SAO JOAQUIM,2025,7239
PARANAITA,2025,12079
PARANATINGA,2025,28870
PEDRA PRETA,2025,18946
PEIXOTO DE AZEVEDO,2025,33754
PLANALTO DA SERRA,2025,3328
POCONE,2025,31203
PONTAL DO ARAGUAIA,2025,7441
PONTE BRANCA,2025,2098
PONTES E LACERDA,2025,55762
PORTO ALEGRE DO NORTE,2025,12649
PORTO DOS GAUCHOS,2025,5705
PORTO ESPERIDIAO,2025,10088
PORTO ESTRELA,2025,3141
POXOREU,2025,25103
PRIMAVERA DO LESTE,2025,96006
QUERENCIA,2025,31100
RESERVA DO CABACAL,2025,2020
RIBEIRAO CASCALHEIRA,2025,10541
RIBEIRAOZINHO,2025,2733
RIO BRANCO,2025,4440
RONDOLANDIA,2025,3518
RONDONOPOLIS,2025,263708
ROSARIO OESTE,2025,15041
SALTO DO CEU,2025,3657
SANTA CARMEM,2025,5795
SANTA CRUZ DO XINGU,2025,2904
SANTA RITA DO TRIVELATO,2025,3536
SANTA TEREZINHA,2025,7737
SANTO AFONSO,2025,2416
SANTO ANTONIO DO LESTE,2025,4244
SANTO ANTONIO DO LEVERGER,2025,16839
SAO FELIX DO ARAGUAIA,2025,14604
SAO JOSE DO POVO,2025,2716
SAO JOSE DO RIO CLARO,2025,14455
SAO JOSE DOS QUATRO MARCOS,2025,17721
SAO JOSE DO XINGU,2025,6234
SAO PEDRO DA CIPA,2025,4250
SAPEZAL,2025,32514
SERRA NOVA DOURADA,2025,1941
SINOP,2025,223780
SORRISO,2025,124665
TABAPORA,2025,9895
TANGARA DA SERRA,2025,114603
TAPURAH,2025,15638
TERRA NOVA DO NORTE,2025,10591
TESOURO,2025,2935
TORIXOREU,2025,4238
UNIAO DO SUL,2025,3904
VALE DE SAO DOMINGOS,2025,2892
VARZEA GRANDE,2025,318922
VERA,2025,10758
VILA BELA DA SANTISSIMA TRINDADE,2025,17592
VILA RICA,2025,19686
