municipio,target,semanas,tests,positives,notificacoes,populacao,risco_medio,risco_max,positividade_media,solicitacoes_100k_media,nivel_risco_max,taxa_utilizacao,silencio_laboratorial,baixo_uso_lacen,exames_por_100_notificacoes,exames_por_100k,classificacao_uso
CARLINDA,rifampicina,1,1,0,0.0,,0.0194830236486487,0.0194830236486487,0.0,,habitual,,False,False,,,intermediario
CASSILANDIA,tuberculose_lf_lam,1,1,1,0.0,,0.0,0.0,1.0,,habitual,,False,False,,,intermediario
CUIABA,baciloscopia,2,3,3,0.0,,0.0,0.0,1.0,,habitual,,False,False,,,intermediario
CUIABA,chikungunya,1,2,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
CUIABA,hepatite_b_hbv,1,1,1,0.0,,0.2890714285714285,0.2890714285714285,1.0,,habitual,,False,False,,,intermediario
CUIABA,influenza_a,2,3,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
CUIABA,influenza_b,2,3,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
CUIABA,meningite_bacteriana_biologia_molecular,2,4,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
CUIABA,rifampicina,4,8,1,0.0,,0.25,1.0,0.125,,habitual,,False,False,,,intermediario
CUIABA,sars_cov_2,2,3,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
CUIABA,tuberculose_lf_lam,5,8,1,0.0,,0.10110075871977889,0.3368787935988944,0.125,,habitual,,False,False,,,intermediario
CUIABA,zika,1,2,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
DIAMANTINO,criptococos_teste_rapido,1,1,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
DIAMANTINO,tuberculose_lf_lam,1,1,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
GUAIRA,hepatite_b_hbv,1,1,1,0.0,,0.0,0.0,1.0,,habitual,,False,False,,,intermediario
IPORA,tuberculose_lf_lam,1,1,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
JACOBINA,meningite_bacteriana_biologia_molecular,1,3,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
JACOBINA,neisseria_gonorrhoeae,1,1,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
JURUTI,pesquisa_de_multipatogenos_ist,1,2,1,0.0,,0.0,0.0,0.5,,habitual,,False,False,,,intermediario
MIRASSOL D''OESTE,hepatite_b_hbv,1,1,1,0.0,,0.0954088289360563,0.0954088289360563,1.0,,habitual,,False,False,,,intermediario
NOVA LACERDA,hepatite_c_hcv,1,1,1,0.0,,0.0334354131475226,0.0334354131475226,1.0,,habitual,,False,False,,,intermediario
NOVA MARILANDIA,hepatite_b_hbv,1,1,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
NOVA MARINGA,criptococos_teste_rapido,1,1,0,0.0,,0.0256592940596847,0.0256592940596847,0.0,,habitual,,False,False,,,intermediario
NOVA MARINGA,tuberculose_lf_lam,1,1,0,0.0,,0.0256592940596847,0.0256592940596847,0.0,,habitual,,False,False,,,intermediario
NOVA MUTUM,influenza_a,1,1,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
NOVA MUTUM,influenza_b,1,1,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
NOVA MUTUM,rifampicina,1,1,1,0.0,,0.529150262212918,0.529150262212918,1.0,,habitual,,False,False,,,intermediario
NOVA MUTUM,sars_cov_2,1,1,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
NOVA OLIMPIA,hepatite_b_hbv,1,1,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
