target,forecast_step,forecast_epi_year,forecast_epi_week,forecast_tests,forecast_positividade,forecast_notificacoes,metodo,modelo_versao
coqueluche_bordetella,3,2025,35,1.53,0.0,0.0,ewma_span4_tail8,baseline_v1
coqueluche_bordetella,4,2025,36,1.53,0.0,0.0,ewma_span4_tail8,baseline_v1
coqueluche_coqueluche_detec_o_de_bordetella_pertussis,1,2025,41,1.56,0.0,0.0,ewma_span4_tail8,baseline_v1
coqueluche_coqueluche_detec_o_de_bordetella_pertussis,2,2025,42,1.56,0.0,0.0,ewma_span4_tail8,baseline_v1
coqueluche_coqueluche_detec_o_de_bordetella_pertussis,3,2025,43,1.56,0.0,0.0,ewma_span4_tail8,baseline_v1
coqueluche_coqueluche_detec_o_de_bordetella_pertussis,4,2025,44,1.56,0.0,0.0,ewma_span4_tail8,baseline_v1
criptococose_criptococos_teste_r_pido,1,2026,20,1.14,0.028,0.0,ewma_span4_tail8,baseline_v1
criptococose_criptococos_teste_r_pido,2,2026,21,1.14,0.028,0.0,ewma_span4_tail8,baseline_v1
criptococose_criptococos_teste_r_pido,3,2026,22,1.14,0.028,0.0,ewma_span4_tail8,baseline_v1
criptococose_criptococos_teste_r_pido,4,2026,23,1.14,0.028,0.0,ewma_span4_tail8,baseline_v1
criptococose_cultura_para_fungos,1,2025,50,1.17,0.2269,0.0,ewma_span4_tail8,baseline_v1
criptococose_cultura_para_fungos,2,2025,51,1.17,0.2269,0.0,ewma_span4_tail8,baseline_v1
criptococose_cultura_para_fungos,3,2025,52,1.17,0.2269,0.0,ewma_span4_tail8,baseline_v1
criptococose_cultura_para_fungos,4,2025,53,1.17,0.2269,0.0,ewma_span4_tail8,baseline_v1
criptococose_fungos,1,2025,50,1.05,0.0829,0.0,ewma_span4_tail8,baseline_v1
criptococose_fungos,2,2025,51,1.05,0.0829,0.0,ewma_span4_tail8,baseline_v1
criptococose_fungos,3,2025,52,1.05,0.0829,0.0,ewma_span4_tail8,baseline_v1
criptococose_fungos,4,2025,53,1.05,0.0829,0.0,ewma_span4_tail8,baseline_v1
criptococose_fungos_teste_de_sensibilidade,1,2025,50,1.23,0.0,0.0,ewma_span4_tail8,baseline_v1
criptococose_fungos_teste_de_sensibilidade,2,2025,51,1.23,0.0,0.0,ewma_span4_tail8,baseline_v1
criptococose_fungos_teste_de_sensibilidade,3,2025,52,1.23,0.0,0.0,ewma_span4_tail8,baseline_v1
criptococose_fungos_teste_de_sensibilidade,4,2025,53,1.23,0.0,0.0,ewma_span4_tail8,baseline_v1
dengue,1,2026,19,415.81,0.0,0.0,ewma_span4_tail8,baseline_v1
dengue,2,2026,20,415.81,0.0,0.0,ewma_span4_tail8,baseline_v1
dengue,3,2026,21,415.81,0.0,0.0,ewma_span4_tail8,baseline_v1
dengue,4,2026,22,415.81,0.0,0.0,ewma_span4_tail8,baseline_v1
difteria_pesquisa_de_arbov_rus_zdc,1,2025,42,1.0,0.0,0.0,ewma_span4_tail8,baseline_v1
difteria_pesquisa_de_arbov_rus_zdc,2,2025,43,1.0,0.0,0.0,ewma_span4_tail8,baseline_v1
difteria_pesquisa_de_arbov_rus_zdc,3,2025,44,1.0,0.0,0.0,ewma_span4_tail8,baseline_v1
difteria_pesquisa_de_arbov_rus_zdc,4,2025,45,1.0,0.0,0.0,ewma_span4_tail8,baseline_v1
doen_a_de_chagas_chagas,1,2025,36,15.2,0.0,0.0,ewma_span4_tail8,baseline_v1
doen_a_de_chagas_chagas,2,2025,37,15.2,0.0,0.0,ewma_span4_tail8,baseline_v1
doen_a_de_chagas_chagas,3,2025,38,15.2,0.0,0.0,ewma_span4_tail8,baseline_v1
doen_a_de_chagas_chagas,4,2025,39,15.2,0.0,0.0,ewma_span4_tail8,baseline_v1
doen_a_de_chagas_chagas_igg,1,2025,50,7.38,0.0,0.0,ewma_span4_tail8,baseline_v1
doen_a_de_chagas_chagas_igg,2,2025,51,7.38,0.0,0.0,ewma_span4_tail8,baseline_v1
doen_a_de_chagas_chagas_igg,3,2025,52,7.38,0.0,0.0,ewma_span4_tail8,baseline_v1
doen_a_de_chagas_chagas_igg,4,2025,53,7.38,0.0,0.0,ewma_span4_tail8,baseline_v1
doen_a_de_chagas_chagas_igm,1,2025,50,1.05,0.0,0.0,ewma_span4_tail8,baseline_v1
doen_a_de_chagas_chagas_igm,2,2025,51,1.05,0.0,0.0,ewma_span4_tail8,baseline_v1
doen_a_de_chagas_chagas_igm,3,2025,52,1.05,0.0,0.0,ewma_span4_tail8,baseline_v1
doen_a_de_chagas_chagas_igm,4,2025,53,1.05,0.0,0.0,ewma_span4_tail8,baseline_v1
doen_a_de_chagas_cr_nica_pesquisa_de_arbov_rus_zdc,1,2025,28,1.38,0.0,0.0,ewma_span4_tail8,baseline_v1
doen_a_de_chagas_cr_nica_pesquisa_de_arbov_rus_zdc,2,2025,29,1.38,0.0,0.0,ewma_span4_tail8,baseline_v1
doen_a_de_chagas_cr_nica_pesquisa_de_arbov_rus_zdc,3,2025,30,1.38,0.0,0.0,ewma_span4_tail8,baseline_v1
doen_a_de_chagas_cr_nica_pesquisa_de_arbov_rus_zdc,4,2025,31,1.38,0.0,0.0,ewma_span4_tail8,baseline_v1
doen_a_de_chagas_pesquisa_de_arbov_rus_zdc,1,2025,46,1.38,0.0,0.0,ewma_span4_tail8,baseline_v1
doen_a_de_chagas_pesquisa_de_arbov_rus_zdc,2,2025,47,1.38,0.0,0.0,ewma_span4_tail8,baseline_v1
doen_a_de_chagas_pesquisa_de_arbov_rus_zdc,3,2025,48,1.38,0.0,0.0,ewma_span4_tail8,baseline_v1
doen_a_de_chagas_pesquisa_de_arbov_rus_zdc,4,2025,49,1.38,0.0,0.0,ewma_span4_tail8,baseline_v1
doen_a_de_lyme_lyme_igg,1,2025,50,1.02,0.0,0.0,ewma_span4_tail8,baseline_v1
doen_a_de_lyme_lyme_igg,2,2025,51,1.02,0.0,0.0,ewma_span4_tail8,baseline_v1
doen_a_de_lyme_lyme_igg,3,2025,52,1.02,0.0,0.0,ewma_span4_tail8,baseline_v1
doen_a_de_lyme_lyme_igg,4,2025,53,1.02,0.0,0.0,ewma_span4_tail8,baseline_v1
doen_a_de_lyme_lyme_igm,1,2025,50,1.02,0.0,0.0,ewma_span4_tail8,baseline_v1
doen_a_de_lyme_lyme_igm,2,2025,51,1.02,0.0,0.0,ewma_span4_tail8,baseline_v1
doen_a_de_lyme_lyme_igm,3,2025,52,1.02,0.0,0.0,ewma_span4_tail8,baseline_v1
doen_a_de_lyme_lyme_igm,4,2025,53,1.02,0.0,0.0,ewma_span4_tail8,baseline_v1
doen_as_sexualmente_transmitidas_clamidia_biologia_molecular,1,2024,50,4.12,0.0,0.0,ewma_span4_tail8,baseline_v1
doen_as_sexualmente_transmitidas_clamidia_biologia_molecular,2,2024,51,4.12,0.0,0.0,ewma_span4_tail8,baseline_v1
doen_as_sexualmente_transmitidas_clamidia_biologia_molecular,3,2024,52,4.12,0.0,0.0,ewma_span4_tail8,baseline_v1
doen_as_sexualmente_transmitidas_clamidia_biologia_molecular,4,2024,53,4.12,0.0,0.0,ewma_span4_tail8,baseline_v1
doen_as_sexualmente_transmitidas_pesquisa_de_multipat_genos_ist,1,2026,22,3.95,0.0,0.0,ewma_span4_tail8,baseline_v1
doen_as_sexualmente_transmitidas_pesquisa_de_multipat_genos_ist,2,2026,23,3.95,0.0,0.0,ewma_span4_tail8,baseline_v1
doen_as_sexualmente_transmitidas_pesquisa_de_multipat_genos_ist,3,2026,24,3.95,0.0,0.0,ewma_span4_tail8,baseline_v1
doen_as_sexualmente_transmitidas_pesquisa_de_multipat_genos_ist,4,2026,25,3.95,0.0,0.0,ewma_span4_tail8,baseline_v1
doenca_de_chagas_aguda_chagas,1,2025,36,2.58,0.0,0.0,ewma_span4_tail8,baseline_v1
doenca_de_chagas_aguda_chagas,2,2025,37,2.58,0.0,0.0,ewma_span4_tail8,baseline_v1
doenca_de_chagas_aguda_chagas,3,2025,38,2.58,0.0,0.0,ewma_span4_tail8,baseline_v1
doenca_de_chagas_aguda_chagas,4,2025,39,2.58,0.0,0.0,ewma_span4_tail8,baseline_v1
doenca_de_chagas_aguda_chagas_igg,1,2025,42,1.97,0.0,0.0,ewma_span4_tail8,baseline_v1
doenca_de_chagas_aguda_chagas_igg,2,2025,43,1.97,0.0,0.0,ewma_span4_tail8,baseline_v1
doenca_de_chagas_aguda_chagas_igg,3,2025,44,1.97,0.0,0.0,ewma_span4_tail8,baseline_v1
doenca_de_chagas_aguda_chagas_igg,4,2025,45,1.97,0.0,0.0,ewma_span4_tail8,baseline_v1
esquistossomose_esquistossomose_sorologia,1,2025,41,1.37,0.0,0.0,ewma_span4_tail8,baseline_v1
esquistossomose_esquistossomose_sorologia,2,2025,42,1.37,0.0,0.0,ewma_span4_tail8,baseline_v1
esquistossomose_esquistossomose_sorologia,3,2025,43,1.37,0.0,0.0,ewma_span4_tail8,baseline_v1
esquistossomose_esquistossomose_sorologia,4,2025,44,1.37,0.0,0.0,ewma_span4_tail8,baseline_v1
