Exame,Metodologia,Agravo_Requisicao,n_registros
Fungos,Micológico Direto,CRIPTOCOCOSE,1
"HTLV I/II, Vírus Linfotrópico Humano tipo I e II",Imunoensaio de Micropartículas por Quimioluminescência,DENGUE,1
"Rotavírus, Biologia Molecular",RT-PCR em tempo real ,DENGUE,1
Pesquisa de Multipatógenos IST,PCR em Tempo Real,TUBERCULOSE,1
Pesquisa de Multipatógenos,PCR em Tempo Real,DOENÇAS DIARRÉICAS/GASTROENTERITE,1
HIV,Imunoensaio de Micropartículas por Quimioluminescência,TOXOPLASMOSE,1
HIV,Imunoensaio de Micropartículas por Quimioluminescência,SÍFILIS,1
HIV,Imunoensaio de Micropartículas por Quimioluminescência,MENINGITE,1
HIV,Imunoensaio de Micropartículas por Quimioluminescência,INFLUENZA / VÍRUS RESPIRATÓRIOS,1
Pesquisa de Arbovírus (ZDC),RT-PCR em tempo real ,TUBERCULOSE,1
"Citomegalovírus, IgG",Imunoensaio de Micropartículas por Quimioluminescência,HIV,1
"Citomegalovírus, IgG",Imunoensaio de Micropartículas por Quimioluminescência,DOENCA DE CHAGAS AGUDA,1
Sífilis,Imunoensaio de Micropartículas por Quimioluminescência,VARICELA / HERPES-ZOSTER,1
Cultura para Fungos,Cultura para Fungos,MICOBACTERIOSES,1
Sífilis,Imunoensaio de Micropartículas por Quimioluminescência,MENINGITE,1
Sífilis,Imunoensaio de Micropartículas por Quimioluminescência,DENGUE,1
"Streptococcus, identificação",Identificação,MENINGITE,1
Cultura para Fungos,Cultura para Fungos,HIV,1
"Sarampo, IgM",Enzimaimunoensaio,DENGUE,1
HIV,Imunoensaio de Micropartículas por Quimioluminescência,HEPATITES VIRAIS,1
"Sarampo, IgG",Enzimaimunoensaio,DENGUE,1
HIV,Immunoblot,TOXOPLASMOSE,1
"Borreliose, Biologia Molecular",PCR – Reação em Cadeia de Polimerase,BARTONELOSE,1
HIV,Immunoblot,SÍFILIS,1
HIV,Immunoblot,MENINGITE,1
HIV,Immunoblot,INFLUENZA / VÍRUS RESPIRATÓRIOS,1
"Bactérias, Teste de Sensibilidade",Teste de Sensibilidade,MICOSE,1
"Hantavírus, IgM",Enzimaimunoensaio,INFLUENZA / VÍRUS RESPIRATÓRIOS,1
"Chikungunya, IgG",Enzimaimunoensaio,FEBRE MACULOSA / RICKETTSIOSES,1
"Chikungunya, IgG",Enzimaimunoensaio,FEBRE AMARELA,1
"Hantavírus, IgM",Enzimaimunoensaio,COVID-19,1
"Hantavírus, IgG",Enzimaimunoensaio,MENINGITE,1
"Chagas, IgG",Enzimaimunoensaio,TOXOPLASMOSE,1
"Hantavírus, IgG",Enzimaimunoensaio,LEISHMANIOSE VISCERAL,1
"Rubéola, IgM",Imunoensaio de Micropartículas por Quimioluminescência,TOXOPLASMOSE,1
"Rubéola, IgM",Enzimaimunoensaio,TOXOPLASMOSE,1
"Hantavírus, IgG",Enzimaimunoensaio,INFLUENZA / VÍRUS RESPIRATÓRIOS,1
"Hantavírus, IgG",Enzimaimunoensaio,HANSENÍASE,1
"Rubéola, IgG",Imunoensaio de Micropartículas por Quimioluminescência,TOXOPLASMOSE,1
"Tuberculose, Baciloscopia",Coloração de Ziehl-Neelsen,TRANSTORNO ENDÓCRINO,1
Tuberculose,Enzimaimunoensaio,HIV,1
"Toxoplasmose, IgM",Imunoensaio de Micropartículas por Quimioluminescência,MENINGITE,1
"Hantavírus, IgG",Enzimaimunoensaio,FEBRE AMARELA,1
"Toxoplasmose, IgM",Imunoensaio de Micropartículas por Quimioluminescência,DOENCA DE CHAGAS AGUDA,1
"Hantavírus, IgG",Enzimaimunoensaio,COVID-19,1
"Toxoplasmose, IgM",Imunoensaio de Micropartículas por Quimioluminescência,CRIPTOCOCOSE,1
"Toxoplasmose, IgG",Imunoensaio de Micropartículas por Quimioluminescência,MENINGITE,1
"Hepatite B, Anti HBc - IgM",Imunoensaio de Micropartículas por Quimioluminescência,DENGUE,1
"Toxoplasmose, IgG",Imunoensaio de Micropartículas por Quimioluminescência,DOENCA DE CHAGAS AGUDA,1
"Hepatite A, Anti HAV - IgM",Imunoensaio de Micropartículas por Quimioluminescência,LEPTOSPIROSE,1
"Toxoplasmose, IgG",Imunoensaio de Micropartículas por Quimioluminescência,CRIPTOCOCOSE,1
"Toxoplasmose, Avidez IgG",Imunoensaio de Micropartículas por Quimioluminescência,TOXOPLASMOSE,1
"Hepatite A, Anti HAV - IgM",Imunoensaio de Micropartículas por Quimioluminescência,HERPES SIMPLES,1
"Tuberculose, Teste Rápido Molecular",PCR em Tempo Real,MENINGITE,1
"Tuberculose, Teste Rápido Molecular",PCR em Tempo Real,LEISHMANIOSE VISCERAL,1
"Hepatite A, Anti HAV - IgM",Imunoensaio de Micropartículas por Quimioluminescência,FEBRE MACULOSA / RICKETTSIOSES,1
"Tuberculose, Teste Rápido Molecular",PCR em Tempo Real,HIV,1
"Tuberculose, Teste Rápido Molecular",PCR em Tempo Real,CRIPTOCOCOSE,1
"Tuberculose, Teste Rápido Molecular",PCR em Tempo Real,COVID-19,1
"Tuberculose, Teste Rápido Molecular",PCR em Tempo Real,CARBÚNCULO OU ANTRAZ,1
"Tuberculose, LF-LAM",Imunocromatografia,DOENÇAS SEXUALMENTE TRANSMITIDAS,1
"Hepatite A, Anti HAV - IgM",Imunoensaio de Micropartículas por Quimioluminescência,FEBRE AMARELA,1
"Hepatite A, Anti HAV - IgG",Imunoensaio de Micropartículas por Quimioluminescência,LEPTOSPIROSE,1
"Tuberculose, Cultura",Cultura,HIV,1
"Tuberculose, Cultura",Cultura,CRIPTOCOCOSE,1
"Hepatite A, Anti HAV - IgG",Imunoensaio de Micropartículas por Quimioluminescência,HERPES SIMPLES,1
"Hepatite A, Anti HAV - IgG",Imunoensaio de Micropartículas por Quimioluminescência,FEBRE MACULOSA / RICKETTSIOSES,1
Varíola,PCR em Tempo Real,PARVOVIROSE,1
"Tuberculose, Teste Rápido Molecular",PCR em Tempo Real,TOXOPLASMOSE,1
Aspergilose,Imunodifusão Radial Dupla,HISTOPLASMOSE,1
"Hepatite A, Anti HAV - IgG",Imunoensaio de Micropartículas por Quimioluminescência,FEBRE AMARELA,1
"Hantavírus, IgM",Enzimaimunoensaio,MENINGITE,1
"Hantavírus, IgM",Enzimaimunoensaio,LEISHMANIOSE VISCERAL,1
Vírus Respiratórios,RT-PCR em tempo real ,TUBERCULOSE,1
Vírus Respiratórios,RT-PCR em tempo real ,SARAMPO,1
"Hepatite B, HBeAg",Imunoensaio de Micropartículas por Quimioluminescência,DENGUE,1
"Hepatite B, Anti HBs",Imunoensaio de Micropartículas por Quimioluminescência,HERPES SIMPLES,1
"Zika,IgG",Enzimaimunoensaio,TUBERCULOSE,1
"Zika,IgG",Enzimaimunoensaio,LEPTOSPIROSE,1
"Zika,IgG",Enzimaimunoensaio,INFLUENZA / VÍRUS RESPIRATÓRIOS,1
"Hepatite B, Anti HBs",Imunoensaio de Micropartículas por Quimioluminescência,DENGUE,1
"Hepatite B, Anti HBe",Imunoensaio de Micropartículas por Quimioluminescência,SÍFILIS,1
"Hepatite B, Anti HBe",Imunoensaio de Micropartículas por Quimioluminescência,HERPES SIMPLES,1
"Hepatite B, Anti HBe",Imunoensaio de Micropartículas por Quimioluminescência,DENGUE,1
"Hepatite B, Anti HBc Total",Imunoensaio de Micropartículas por Quimioluminescência,SÍFILIS,1
"Varicela, Biologia Molecular",PCR – Reação em Cadeia de Polimerase,VARICELA / HERPES-ZOSTER,1
"Varicela, Biologia Molecular",PCR – Reação em Cadeia de Polimerase,SARAMPO,1
"Varicela, Biologia Molecular",PCR – Reação em Cadeia de Polimerase,PARVOVIROSE,1
"Hepatite B, Anti HBc Total",Imunoensaio de Micropartículas por Quimioluminescência,HERPES SIMPLES,1
"Hepatite B, Anti HBc Total",Imunoensaio de Micropartículas por Quimioluminescência,DENGUE,1
"Hepatite B, Anti HBc - IgM",Imunoensaio de Micropartículas por Quimioluminescência,SÍFILIS,1
"Hepatite B, Anti HBc - IgM",Imunoensaio de Micropartículas por Quimioluminescência,HERPES SIMPLES,1
Chagas,Imunoensaio de Micropartículas por Quimioluminescência,CHIKUNGUNYA,1
"Brucelose, IgM",Enzimaimunoensaio,FEBRE MACULOSA / RICKETTSIOSES,1
"Brucelose, IgG",Enzimaimunoensaio,FEBRE MACULOSA / RICKETTSIOSES,1
Brucelose,Coloração de Rosa Bengala,FEBRE MACULOSA / RICKETTSIOSES,1
"Borreliose, Biologia Molecular",PCR – Reação em Cadeia de Polimerase,FEBRE MACULOSA / RICKETTSIOSES,1
"Borreliose, Biologia Molecular",PCR – Reação em Cadeia de Polimerase,DOENÇA DE LYME,1
"Borreliose, Biologia Molecular",PCR – Reação em Cadeia de Polimerase,BORRELIOSE,1
"Adenovírus Entéricos, Biologia Molecular",PCR – Reação em Cadeia de Polimerase,ARENAVÍRUS,1
