municipio,vizinho,dist_km,rank_vizinho
CASTANHEIRA,JURUENA,94.36,2
CHAPADA DOS GUIMARAES,CUIABA,40.14,1
CHAPADA DOS GUIMARAES,VARZEA GRANDE,46.0,2
CHAPADA DOS GUIMARAES,SANTO ANTONIO DO LEVERGER,57.1,3
CHAPADA DOS GUIMARAES,NOVA BRASILANDIA,60.86,4
CHAPADA DOS GUIMARAES,CAMPO VERDE,62.95,5
CHAPADA DOS GUIMARAES,ACORIZAL,71.98,6
CLAUDIA,ITAUBA,40.54,1
CLAUDIA,SANTA CARMEM,47.29,2
CLAUDIA,NOVA SANTA HELENA,71.39,3
CLAUDIA,COLIDER,80.06,4
CLAUDIA,VERA,90.88,5
CLAUDIA,UNIAO DO SUL,93.53,6
COLIDER,NOVA SANTA HELENA,13.97,1
COLIDER,ITAUBA,40.02,2
COLIDER,NOVA CANAA DO NORTE,57.03,3
COLIDER,NOVA GUARITA,57.38,4
COLIDER,CLAUDIA,80.06,5
COLIDER,PEIXOTO DE AZEVEDO,84.02,6
COMODORO,CAMPOS DE JULIO,76.74,1
COMODORO,SAPEZAL,103.59,2
COMODORO,CONQUISTA D'OESTE,112.5,3
CONQUISTA D'OESTE,VALE DE SAO DOMINGOS,76.49,1
CONQUISTA D'OESTE,JAURU,104.93,2
CONQUISTA D'OESTE,COMODORO,112.5,3
CUIABA,VARZEA GRANDE,6.84,1
CUIABA,SANTO ANTONIO DO LEVERGER,30.04,2
CUIABA,NOSSA SENHORA DO LIVRAMENTO,32.77,3
CUIABA,CHAPADA DOS GUIMARAES,40.14,4
CUIABA,ACORIZAL,52.75,5
CUIABA,JANGADA,57.82,6
DENISE,SANTO AFONSO,17.67,1
DENISE,NOVA OLIMPIA,26.01,2
DENISE,ARENAPOLIS,39.13,3
DENISE,BARRA DO BUGRES,39.72,4
DENISE,NORTELANDIA,44.7,5
DENISE,TANGARA DA SERRA,48.69,6
DIAMANTINO,ALTO PARAGUAI,12.6,1
DIAMANTINO,NOVA MARILANDIA,32.66,2
DIAMANTINO,NOBRES,37.04,3
DIAMANTINO,NORTELANDIA,38.62,4
DIAMANTINO,ARENAPOLIS,43.29,5
DIAMANTINO,ROSARIO OESTE,47.66,6
DOM AQUINO,SAO PEDRO DA CIPA,16.16,1
DOM AQUINO,CAMPO VERDE,39.54,2
DOM AQUINO,POXOREU,56.9,3
DOM AQUINO,RONDONOPOLIS,79.67,4
DOM AQUINO,CHAPADA DOS GUIMARAES,96.96,5
DOM AQUINO,SAO JOSE DO POVO,98.69,6
FELIZ NATAL,VERA,43.54,1
FELIZ NATAL,SANTA CARMEM,63.56,2
FELIZ NATAL,NOVA UBIRATA,75.24,3
FELIZ NATAL,SORRISO,87.55,4
FELIZ NATAL,CLAUDIA,104.42,5
FELIZ NATAL,UNIAO DO SUL,117.63,6
FIGUEIROPOLIS D'OESTE,JAURU,20.0,1
FIGUEIROPOLIS D'OESTE,ARAPUTANGA,41.42,2
FIGUEIROPOLIS D'OESTE,PORTO ESPERIDIAO,55.22,3
FIGUEIROPOLIS D'OESTE,GLORIA D'OESTE,57.87,4
FIGUEIROPOLIS D'OESTE,SAO JOSE DOS QUATRO MARCOS,63.7,5
FIGUEIROPOLIS D'OESTE,VALE DE SAO DOMINGOS,67.46,6
GENERAL CARNEIRO,BARRA DO GARCAS,57.0,1
GENERAL CARNEIRO,TORIXOREU,59.72,2
GENERAL CARNEIRO,PONTAL DO ARAGUAIA,80.66,3
GENERAL CARNEIRO,NOVO SAO JOAQUIM,93.13,4
GENERAL CARNEIRO,TESOURO,94.73,5
GENERAL CARNEIRO,ARAGUAIANA,98.67,6
GLORIA D'OESTE,PORTO ESPERIDIAO,19.36,1
GLORIA D'OESTE,SAO JOSE DOS QUATRO MARCOS,19.99,2
GLORIA D'OESTE,ARAPUTANGA,32.22,3
GLORIA D'OESTE,FIGUEIROPOLIS D'OESTE,57.87,4
GLORIA D'OESTE,RIO BRANCO,59.1,5
GLORIA D'OESTE,SALTO DO CEU,70.85,6
GUIRATINGA,TESOURO,36.91,1
GUIRATINGA,SAO JOSE DO POVO,56.17,2
GUIRATINGA,ALTO GARCAS,71.08,3
GUIRATINGA,PEDRA PRETA,82.28,4
GUIRATINGA,POXOREU,87.87,5
GUIRATINGA,RONDONOPOLIS,94.51,6
IPIRANGA DO NORTE,SORRISO,55.78,1
IPIRANGA DO NORTE,ITANHANGA,63.25,2
IPIRANGA DO NORTE,TAPURAH,80.93,3
IPIRANGA DO NORTE,VERA,83.5,4
IPIRANGA DO NORTE,SANTA CARMEM,94.5,5
