municipio,epi_year,epi_week,precipitation_sum_mm,wind_speed_10m_max,temperature_2m_max,relative_humidity_2m_min,n_eventos_climaticos,severidade_media,severidade_max
ACORIZAL,2018,4,,,,,7,0.0,0
ACORIZAL,2018,5,,,,,7,0.0,0
ACORIZAL,2018,6,,,,,7,0.0,0
ACORIZAL,2018,7,,,,,7,0.0,0
ACORIZAL,2018,8,,,,,7,0.0,0
ACORIZAL,2018,9,,,,,7,0.0,0
ACORIZAL,2018,10,,,,,7,0.0,0
ACORIZAL,2018,11,,,,,7,0.0,0
ACORIZAL,2018,12,,,,,7,0.0,0
ACORIZAL,2018,13,,,,,7,0.0,0
ACORIZAL,2018,14,,,,,7,0.0,0
ACORIZAL,2018,15,,,,,7,0.0,0
ACORIZAL,2018,16,,,,,7,0.0,0
ACORIZAL,2018,17,,,,,7,0.0,0
ACORIZAL,2018,18,,,,,7,0.0,0
ACORIZAL,2018,19,,,,,7,0.0,0
ACORIZAL,2018,20,,,,,7,0.0,0
ACORIZAL,2018,21,,,,,7,0.0,0
ACORIZAL,2018,22,,,,,7,0.0,0
ACORIZAL,2018,23,,,,,7,0.0,0
ACORIZAL,2018,24,,,,,7,0.0,0
ACORIZAL,2018,25,,,,,7,0.0,0
ACORIZAL,2018,26,,,,,7,0.0,0
ACORIZAL,2018,27,,,,,7,0.0,0
ACORIZAL,2018,28,,,,,7,0.0,0
ACORIZAL,2018,29,,,,,7,0.0,0
ACORIZAL,2018,30,,,,,7,0.0,0
ACORIZAL,2018,31,,,,,7,0.0,0
ACORIZAL,2018,32,,,,,7,0.0,0
ACORIZAL,2018,33,,,,,7,0.0,0
ACORIZAL,2018,34,,,,,7,0.0,0
ACORIZAL,2018,35,,,,,7,0.0,0
ACORIZAL,2018,36,,,,,7,0.0,0
ACORIZAL,2018,37,,,,,7,0.0,0
ACORIZAL,2018,38,,,,,7,0.0,0
ACORIZAL,2018,39,,,,,7,0.0,0
ACORIZAL,2018,40,,,,,7,0.0,0
ACORIZAL,2018,41,,,,,7,0.0,0
ACORIZAL,2018,42,,,,,7,0.0,0
ACORIZAL,2018,43,,,,,7,0.0,0
ACORIZAL,2018,44,,,,,7,0.0,0
ACORIZAL,2018,45,,,,,7,0.0,0
ACORIZAL,2018,46,,,,,7,0.0,0
ACORIZAL,2018,47,,,,,7,0.0,0
ACORIZAL,2018,48,,,,,7,0.0,0
ACORIZAL,2018,49,,,,,7,0.0,0
ACORIZAL,2018,50,,,,,7,0.0,0
ACORIZAL,2018,51,,,,,7,0.0,0
ACORIZAL,2018,52,,,,,7,0.0,0
ACORIZAL,2019,1,,,,,7,0.0,0
ACORIZAL,2019,2,,,,,7,0.0,0
ACORIZAL,2019,3,,,,,7,0.0,0
ACORIZAL,2019,4,,,,,7,0.0,0
ACORIZAL,2019,5,,,,,7,0.0,0
ACORIZAL,2019,6,,,,,7,0.0,0
ACORIZAL,2019,7,,,,,7,0.0,0
ACORIZAL,2019,8,,,,,7,0.0,0
ACORIZAL,2019,9,,,,,7,0.0,0
ACORIZAL,2019,10,,,,,7,0.0,0
ACORIZAL,2019,11,,,,,7,0.0,0
ACORIZAL,2019,12,,,,,7,0.0,0
ACORIZAL,2019,13,,,,,7,0.0,0
ACORIZAL,2019,14,,,,,7,0.0,0
ACORIZAL,2019,15,,,,,7,0.0,0
ACORIZAL,2019,16,,,,,7,0.0,0
ACORIZAL,2019,17,,,,,7,0.0,0
ACORIZAL,2019,18,,,,,7,0.0,0
ACORIZAL,2019,19,,,,,7,0.0,0
ACORIZAL,2019,20,,,,,7,0.0,0
ACORIZAL,2019,21,,,,,7,0.0,0
ACORIZAL,2019,22,,,,,7,0.0,0
ACORIZAL,2019,23,,,,,7,0.0,0
ACORIZAL,2019,24,,,,,6,0.0,0
ACORIZAL,2019,25,,,,,5,0.0,0
ACORIZAL,2019,26,,,,,7,0.0,0
ACORIZAL,2019,27,,,,,7,0.0,0
ACORIZAL,2019,28,,,,,5,0.0,0
ACORIZAL,2019,38,,,,,7,0.0,0
ACORIZAL,2019,39,,,,,5,0.0,0
ACORIZAL,2019,40,,,,,7,0.0,0
ACORIZAL,2019,41,,,,,7,0.0,0
ACORIZAL,2019,42,,,,,7,0.0,0
ACORIZAL,2019,43,,,,,7,0.0,0
ACORIZAL,2019,44,,,,,7,0.0,0
ACORIZAL,2019,45,,,,,7,0.0,0
ACORIZAL,2019,46,,,,,7,0.0,0
ACORIZAL,2019,47,,,,,7,0.0,0
ACORIZAL,2019,48,,,,,7,0.0,0
ACORIZAL,2019,49,,,,,7,0.0,0
ACORIZAL,2019,50,,,,,7,0.0,0
ACORIZAL,2019,51,,,,,7,0.0,0
ACORIZAL,2019,52,,,,,7,0.0,0
ACORIZAL,2020,1,,,,,7,0.0,0
ACORIZAL,2020,2,,,,,7,0.0,0
ACORIZAL,2020,3,,,,,7,0.0,0
ACORIZAL,2020,4,,,,,7,0.0,0
ACORIZAL,2020,5,,,,,7,0.0,0
ACORIZAL,2020,6,,,,,7,0.0,0
ACORIZAL,2020,7,,,,,7,0.0,0
ACORIZAL,2020,8,,,,,7,0.0,0
ACORIZAL,2020,9,,,,,7,0.0,0
ACORIZAL,2020,10,,,,,7,0.0,0
ACORIZAL,2020,11,,,,,7,0.0,0
ACORIZAL,2020,12,,,,,7,0.0,0
ACORIZAL,2020,13,,,,,7,0.0,0
ACORIZAL,2020,14,,,,,7,0.0,0
ACORIZAL,2020,15,,,,,7,0.0,0
ACORIZAL,2020,16,,,,,7,0.0,0
ACORIZAL,2020,17,,,,,7,0.0,0
