municipio,familia,epi_year,epi_week,prob_pressao_alta_proxima_janela,limiar_operacional,acima_limiar,faixa_pressao_predita,indice_pressao_proxy_atual,tests,drivers,tipo_sinal,metodo,modelo_versao
CACERES,arbovirose,2026,14,0.972,0.5499999999999999,True,critica,79.87,186,backlog_estimado=4e+03 (imp=0.0688); tests=186 (imp=0.153); tests_ma4=106 (imp=0.0905); tests_lag1=208 (imp=0.032); tests_ma8=61 (imp=0.0999),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
CAMPO NOVO DO PARECIS,respiratorio,2026,16,0.9279,0.85,True,critica,81.36,3,backlog_estimado=466 (imp=0.248); indice_pressao_proxy=81.4 (imp=0.184); tat_p90_dias=179 (imp=0.013); tests_ma8=15 (imp=0.0749); tests_trend=-6 (imp=0.0483),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
SORRISO,arbovirose,2025,35,0.9145,0.5499999999999999,True,critica,72.06,71,backlog_estimado=7.59e+03 (imp=0.0688); tests_ma8=170 (imp=0.0999); tests=71 (imp=0.153); tests_ma4=104 (imp=0.0905); tests_lag1=90 (imp=0.032),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
CACERES,hepatite,2026,21,0.9119,0.2,True,critica,69.36,1,backlog_estimado=49 (imp=0.554); indice_pressao_proxy=69.4 (imp=0.0872); tat_p90_dias=72.9 (imp=0.0124); tests_ma8=1.62 (imp=0.103); tests_lag1=1 (imp=0.0278),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
CUIABA,respiratorio,2026,20,0.9083,0.85,True,critica,79.47,3,backlog_estimado=1.76e+03 (imp=0.248); indice_pressao_proxy=79.5 (imp=0.184); tat_p90_dias=209 (imp=0.013); tests_ma8=4.75 (imp=0.0749); tests_lag1=6 (imp=0.0398),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
VARZEA GRANDE,respiratorio,2026,19,0.879,0.85,True,critica,63.51,3,backlog_estimado=1.3e+03 (imp=0.248); indice_pressao_proxy=63.5 (imp=0.184); tat_p90_dias=147 (imp=0.013); tests_ma8=5 (imp=0.0749); tests_lag1=3 (imp=0.0398),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
CUIABA,tuberculose,2026,20,0.849,0.44999999999999996,True,critica,77.27,3,backlog_estimado=6.92e+03 (imp=0.613); indice_pressao_proxy=77.3 (imp=0.0691); tat_p90_dias=94.4 (imp=0.0137); tests_ma8=3 (imp=0.0398); tests_ma4=1.75 (imp=0.0286),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
APIACAS,tuberculose,2026,2,0.8397,0.44999999999999996,True,critica,59.81,1,backlog_estimado=52 (imp=0.613); indice_pressao_proxy=59.8 (imp=0.0691); tat_p90_dias=120 (imp=0.0137); notificacoes=1 (imp=0.0665); tests_ma4=1.5 (imp=0.0286),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
VARZEA GRANDE,tuberculose,2026,20,0.8392,0.44999999999999996,True,critica,51.19,1,backlog_estimado=2.79e+03 (imp=0.613); indice_pressao_proxy=51.2 (imp=0.0691); tat_p90_dias=119 (imp=0.0137); tests_ma8=1.25 (imp=0.0398); tests_ma4=1 (imp=0.0286),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
RONDONOPOLIS,respiratorio,2026,9,0.8303,0.85,False,critica,80.69,6,backlog_estimado=79 (imp=0.248); indice_pressao_proxy=80.7 (imp=0.184); tat_p90_dias=123 (imp=0.013); tests_ma8=8.25 (imp=0.0749); tests_lag1=6 (imp=0.0398),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
VARZEA GRANDE,outros,2026,20,0.8271,0.3,True,critica,71.95,4,backlog_estimado=1.23e+03 (imp=0.158); indice_pressao_proxy=72 (imp=0.0974); tat_p90_dias=111 (imp=0.00902); tests_ma8=2.75 (imp=0.362); tests_ma4=2 (imp=0.0576),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
GUARANTA DO NORTE,hepatite,2025,33,0.8133,0.2,True,critica,71.24,18,backlog_estimado=319 (imp=0.554); indice_pressao_proxy=71.2 (imp=0.0872); tat_p90_dias=186 (imp=0.0124); tests_ma8=19.1 (imp=0.103); tests_lag1=25 (imp=0.0278),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
SINOP,hepatite,2026,20,0.8097,0.2,True,critica,68.97,2,backlog_estimado=182 (imp=0.554); indice_pressao_proxy=69 (imp=0.0872); tat_p90_dias=90.5 (imp=0.0124); tests_ma8=1.62 (imp=0.103); tests_lag1=3 (imp=0.0278),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
CACERES,respiratorio,2026,14,0.8056,0.85,False,critica,81.74,3,backlog_estimado=142 (imp=0.248); indice_pressao_proxy=81.7 (imp=0.184); tat_p90_dias=91.5 (imp=0.013); tests_ma8=9.62 (imp=0.0749); tests_lag1=12 (imp=0.0398),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
CUIABA,outros,2026,21,0.786,0.3,True,critica,53.59,1,backlog_estimado=1.78e+03 (imp=0.158); indice_pressao_proxy=53.6 (imp=0.0974); tests_ma8=8.5 (imp=0.362); tat_p90_dias=93.1 (imp=0.00902); tests_ma4=12 (imp=0.0576),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
PRIMAVERA DO LESTE,outros,2026,17,0.7381,0.3,True,critica,52.58,3,backlog_estimado=255 (imp=0.158); indice_pressao_proxy=52.6 (imp=0.0974); tests_ma8=6.5 (imp=0.362); tat_p90_dias=120 (imp=0.00902); tests_ma4=6 (imp=0.0576),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
SINOP,tuberculose,2026,20,0.7212,0.44999999999999996,True,critica,57.0,1,backlog_estimado=2.44e+03 (imp=0.613); indice_pressao_proxy=57 (imp=0.0691); tat_p90_dias=94.6 (imp=0.0137); tests_ma8=2.12 (imp=0.0398); tests_ma4=2.75 (imp=0.0286),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
CUIABA,hepatite,2026,17,0.7039,0.2,True,critica,48.36,1,backlog_estimado=1.14e+03 (imp=0.554); indice_pressao_proxy=48.4 (imp=0.0872); tat_p90_dias=145 (imp=0.0124); tests_ma8=9.62 (imp=0.103); tests_lag1=7 (imp=0.0278),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
CANARANA,hepatite,2025,33,0.676,0.2,True,critica,65.93,15,backlog_estimado=183 (imp=0.554); indice_pressao_proxy=65.9 (imp=0.0872); tat_p90_dias=94.8 (imp=0.0124); tests_ma8=8.62 (imp=0.103); tests=15 (imp=0.0128),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
TANGARA DA SERRA,outros,2026,20,0.6717,0.3,True,critica,76.93,6,backlog_estimado=149 (imp=0.158); indice_pressao_proxy=76.9 (imp=0.0974); tests_ma8=7 (imp=0.362); tat_p90_dias=211 (imp=0.00902); tests_ma4=5.75 (imp=0.0576),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
NOVA GUARITA,arbovirose,2025,34,0.626,0.5499999999999999,True,critica,37.82,10,backlog_estimado=101 (imp=0.0688); tests_ma4=56 (imp=0.0905); tests_ma8=43.9 (imp=0.0999); tests_lag1=51 (imp=0.032); tests=10 (imp=0.153),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
BRASNORTE,respiratorio,2026,19,0.5871,0.85,False,alta,43.59,3,indice_pressao_proxy=43.6 (imp=0.184); backlog_estimado=8 (imp=0.248); tests_ma8=3.75 (imp=0.0749); tests_ma4=3.75 (imp=0.032); tests_lag1=3 (imp=0.0398),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
CAMPO NOVO DO PARECIS,arbovirose,2025,35,0.5815,0.5499999999999999,True,alta,56.43,30,backlog_estimado=5.24e+03 (imp=0.0688); tests_ma8=91.8 (imp=0.0999); tests_ma4=54.2 (imp=0.0905); tests=30 (imp=0.153); tests_lag1=41 (imp=0.032),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
BARRA DO BUGRES,respiratorio,2026,15,0.5557,0.85,False,alta,80.15,3,indice_pressao_proxy=80.2 (imp=0.184); backlog_estimado=14 (imp=0.248); tat_p90_dias=233 (imp=0.013); tests_ma8=3.75 (imp=0.0749); volume_norm=1 (imp=0.169),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
PONTES E LACERDA,hepatite,2026,20,0.5295,0.2,True,alta,61.25,1,backlog_estimado=142 (imp=0.554); indice_pressao_proxy=61.2 (imp=0.0872); tat_p90_dias=72.1 (imp=0.0124); tests_ma8=2.12 (imp=0.103); tests_lag1=1 (imp=0.0278),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
PRIMAVERA DO LESTE,arbovirose,2025,35,0.5289,0.5499999999999999,False,alta,56.27,31,backlog_estimado=1.5e+03 (imp=0.0688); tests=31 (imp=0.153); tests_ma8=23.8 (imp=0.0999); tests_ma4=14.8 (imp=0.0905); indice_pressao_proxy=56.3 (imp=0.0197),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
ARIPUANA,hepatite,2025,31,0.5112,0.2,True,alta,49.63,7,backlog_estimado=69 (imp=0.554); indice_pressao_proxy=49.6 (imp=0.0872); tat_p90_dias=208 (imp=0.0124); tests_ma8=4.75 (imp=0.103); tests_lag1=7 (imp=0.0278),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
APIACAS,arbovirose,2025,16,0.5098,0.5499999999999999,False,alta,33.05,5,backlog_estimado=155 (imp=0.0688); tests_ma4=62 (imp=0.0905); tests_ma8=36.6 (imp=0.0999); tests_lag1=90 (imp=0.032); tests=5 (imp=0.153),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
NOVA MUTUM,hepatite,2025,34,0.5004,0.2,True,alta,52.21,2,backlog_estimado=381 (imp=0.554); indice_pressao_proxy=52.2 (imp=0.0872); tat_p90_dias=207 (imp=0.0124); tests_ma8=5.25 (imp=0.103); tests_ma4=4.75 (imp=0.0162),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
RONDONOPOLIS,hepatite,2025,33,0.5003,0.2,True,alta,45.6,6,backlog_estimado=219 (imp=0.554); indice_pressao_proxy=45.6 (imp=0.0872); tat_p90_dias=68.9 (imp=0.0124); tests_ma8=7.38 (imp=0.103); tests_lag1=8 (imp=0.0278),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
JUINA,hepatite,2025,34,0.4992,0.2,True,alta,64.36,6,backlog_estimado=740 (imp=0.554); indice_pressao_proxy=64.4 (imp=0.0872); tests_ma8=26.5 (imp=0.103); tat_p90_dias=204 (imp=0.0124); tests_lag1=17 (imp=0.0278),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
CAMPO NOVO DO PARECIS,hepatite,2026,19,0.4789,0.2,True,alta,73.21,1,backlog_estimado=60 (imp=0.554); indice_pressao_proxy=73.2 (imp=0.0872); tat_p90_dias=29.2 (imp=0.0124); tests_ma8=1.25 (imp=0.103); tests_lag1=1 (imp=0.0278),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
DIAMANTINO,tuberculose,2026,15,0.4704,0.44999999999999996,True,alta,60.35,1,backlog_estimado=81 (imp=0.613); indice_pressao_proxy=60.4 (imp=0.0691); tat_p90_dias=209 (imp=0.0137); tests_ma8=1.12 (imp=0.0398); tests_ma4=1 (imp=0.0286),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
BRASNORTE,outros,2026,6,0.4694,0.3,True,alta,70.58,2,indice_pressao_proxy=70.6 (imp=0.0974); backlog_estimado=22 (imp=0.158); tat_p90_dias=211 (imp=0.00902); tests_ma8=1.88 (imp=0.362); tests_ma4=2 (imp=0.0576),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
SAPEZAL,outros,2026,20,0.4387,0.3,True,alta,58.78,3,indice_pressao_proxy=58.8 (imp=0.0974); backlog_estimado=23 (imp=0.158); tat_p90_dias=223 (imp=0.00902); tests_ma8=2.38 (imp=0.362); tests_ma4=2.25 (imp=0.0576),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
MATUPA,hepatite,2025,28,0.4367,0.2,True,alta,35.01,2,backlog_estimado=82 (imp=0.554); indice_pressao_proxy=35 (imp=0.0872); tat_p90_dias=195 (imp=0.0124); tests_ma8=5.75 (imp=0.103); tests_lag1=6 (imp=0.0278),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
ROSARIO OESTE,tuberculose,2026,17,0.4299,0.44999999999999996,False,alta,57.4,1,backlog_estimado=74 (imp=0.613); indice_pressao_proxy=57.4 (imp=0.0691); tat_p90_dias=168 (imp=0.0137); tests_ma8=1.12 (imp=0.0398); tests_ma4=1 (imp=0.0286),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
DIAMANTINO,respiratorio,2025,45,0.4296,0.85,False,alta,80.75,3,indice_pressao_proxy=80.8 (imp=0.184); backlog_estimado=23 (imp=0.248); tat_p90_dias=147 (imp=0.013); tests_ma8=3.62 (imp=0.0749); volume_norm=1 (imp=0.169),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
VARZEA GRANDE,arbovirose,2026,18,0.4234,0.5499999999999999,False,alta,84.56,4,backlog_estimado=1.67e+04 (imp=0.0688); tests_ma8=43.5 (imp=0.0999); indice_pressao_proxy=84.6 (imp=0.0197); tests_ma4=15 (imp=0.0905); tests_trend=-28.5 (imp=0.0295),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
CASTANHEIRA,hepatite,2025,33,0.4217,0.2,True,alta,40.9,6,backlog_estimado=63 (imp=0.554); indice_pressao_proxy=40.9 (imp=0.0872); tat_p90_dias=158 (imp=0.0124); tests_ma8=5.5 (imp=0.103); tests_lag1=14 (imp=0.0278),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
JURUENA,hepatite,2025,34,0.4198,0.2,True,alta,61.13,6,backlog_estimado=68 (imp=0.554); indice_pressao_proxy=61.1 (imp=0.0872); tat_p90_dias=155 (imp=0.0124); tests_ma8=6.88 (imp=0.103); tests_lag1=6 (imp=0.0278),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
NOVA MUTUM,respiratorio,2026,19,0.4196,0.85,False,alta,61.77,3,indice_pressao_proxy=61.8 (imp=0.184); backlog_estimado=41 (imp=0.248); tat_p90_dias=210 (imp=0.013); tests_ma8=9 (imp=0.0749); tests_trend=-5.25 (imp=0.0483),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
VARZEA GRANDE,hepatite,2025,34,0.4111,0.2,True,alta,74.67,7,backlog_estimado=409 (imp=0.554); indice_pressao_proxy=74.7 (imp=0.0872); tat_p90_dias=91.5 (imp=0.0124); tests_ma8=2.75 (imp=0.103); tests=7 (imp=0.0128),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
SORRISO,hepatite,2025,32,0.4042,0.2,True,alta,40.52,5,backlog_estimado=338 (imp=0.554); indice_pressao_proxy=40.5 (imp=0.0872); tat_p90_dias=81.9 (imp=0.0124); tests_ma8=6.5 (imp=0.103); tests_lag1=3 (imp=0.0278),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
CAMPOS DE JULIO,tuberculose,2026,15,0.3995,0.44999999999999996,False,moderada,63.96,1,backlog_estimado=33 (imp=0.613); indice_pressao_proxy=64 (imp=0.0691); tat_p90_dias=43.3 (imp=0.0137); tests_ma8=1.25 (imp=0.0398); tests_ma4=1 (imp=0.0286),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
NOVA SANTA HELENA,arbovirose,2025,24,0.3884,0.5499999999999999,False,moderada,33.85,13,backlog_estimado=492 (imp=0.0688); tests_ma4=40.5 (imp=0.0905); tests_ma8=36.2 (imp=0.0999); tests=13 (imp=0.153); indice_pressao_proxy=33.9 (imp=0.0197),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
NOVA MUTUM,tuberculose,2026,17,0.3853,0.44999999999999996,False,moderada,55.45,1,backlog_estimado=374 (imp=0.613); indice_pressao_proxy=55.5 (imp=0.0691); tat_p90_dias=87.3 (imp=0.0137); tests_ma8=1 (imp=0.0398); tests_ma4=1 (imp=0.0286),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
PIMENTA BUENO,arbovirose,2025,33,0.3818,0.5499999999999999,False,moderada,2.65,5,tests=5 (imp=0.153); tests_ma4=4.25 (imp=0.0905); tests_ma8=3.25 (imp=0.0999); tests_lag1=6 (imp=0.032); tests_pct_estadual=0.393 (imp=0.445),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
SINOP,arbovirose,2025,33,0.3813,0.5499999999999999,False,moderada,41.08,13,backlog_estimado=3.99e+03 (imp=0.0688); tests_ma8=27 (imp=0.0999); tests_ma4=23.8 (imp=0.0905); tests=13 (imp=0.153); indice_pressao_proxy=41.1 (imp=0.0197),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
PONTES E LACERDA,arbovirose,2025,35,0.371,0.5499999999999999,False,moderada,36.92,5,backlog_estimado=2.29e+03 (imp=0.0688); tests_ma8=28.2 (imp=0.0999); tests_ma4=24.8 (imp=0.0905); tests_lag1=38 (imp=0.032); tests=5 (imp=0.153),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
COLNIZA,hepatite,2025,28,0.3641,0.2,True,moderada,33.91,4,backlog_estimado=103 (imp=0.554); indice_pressao_proxy=33.9 (imp=0.0872); tat_p90_dias=125 (imp=0.0124); tests_ma8=8.62 (imp=0.103); tests_trend=-5.12 (imp=0.0219),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
POCONE,respiratorio,2026,20,0.3632,0.85,False,moderada,80.34,3,indice_pressao_proxy=80.3 (imp=0.184); backlog_estimado=38 (imp=0.248); tat_p90_dias=119 (imp=0.013); tests_ma8=3.62 (imp=0.0749); volume_norm=1 (imp=0.169),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
CURVELANDIA,arbovirose,2025,17,0.3566,0.5499999999999999,False,moderada,37.51,3,backlog_estimado=145 (imp=0.0688); tests_ma4=16.8 (imp=0.0905); tests_ma8=12.4 (imp=0.0999); indice_pressao_proxy=37.5 (imp=0.0197); tests=3 (imp=0.153),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
CHAPADA DOS GUIMARAES,outros,2026,3,0.3539,0.3,True,moderada,75.16,2,backlog_estimado=90 (imp=0.158); indice_pressao_proxy=75.2 (imp=0.0974); tests_ma8=3.38 (imp=0.362); tat_p90_dias=86.6 (imp=0.00902); tests_ma4=2.25 (imp=0.0576),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
JUINA,outros,2025,46,0.3487,0.3,True,moderada,54.75,4,backlog_estimado=119 (imp=0.158); indice_pressao_proxy=54.8 (imp=0.0974); tat_p90_dias=207 (imp=0.00902); tests_ma8=2.25 (imp=0.362); tests_ma4=1.75 (imp=0.0576),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
BARRA DO BUGRES,tuberculose,2026,15,0.3469,0.44999999999999996,False,moderada,61.56,1,backlog_estimado=155 (imp=0.613); indice_pressao_proxy=61.6 (imp=0.0691); tat_p90_dias=57.4 (imp=0.0137); tests_ma8=1.5 (imp=0.0398); tests_ma4=1 (imp=0.0286),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
NOVA MUTUM,outros,2025,32,0.3455,0.3,True,moderada,41.8,4,backlog_estimado=189 (imp=0.158); indice_pressao_proxy=41.8 (imp=0.0974); tat_p90_dias=171 (imp=0.00902); tests_ma8=2.88 (imp=0.362); tests_ma4=2.25 (imp=0.0576),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
TANGARA DA SERRA,tuberculose,2026,20,0.3416,0.44999999999999996,False,moderada,58.45,1,backlog_estimado=209 (imp=0.613); indice_pressao_proxy=58.5 (imp=0.0691); tat_p90_dias=89.8 (imp=0.0137); tests_ma8=1.25 (imp=0.0398); tests_ma4=1.25 (imp=0.0286),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
CACERES,tuberculose,2026,16,0.3395,0.44999999999999996,False,moderada,54.18,2,backlog_estimado=282 (imp=0.613); indice_pressao_proxy=54.2 (imp=0.0691); tat_p90_dias=90.3 (imp=0.0137); notificacoes=1 (imp=0.0665); tests_ma8=1.38 (imp=0.0398),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
ARENAPOLIS,outros,2026,1,0.3358,0.3,True,moderada,57.94,2,indice_pressao_proxy=57.9 (imp=0.0974); tat_p90_dias=222 (imp=0.00902); backlog_estimado=10 (imp=0.158); tests_ma8=2.62 (imp=0.362); tests_ma4=2.5 (imp=0.0576),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
VERA,arbovirose,2025,31,0.334,0.5499999999999999,False,moderada,31.64,1,backlog_estimado=1.43e+03 (imp=0.0688); tests_ma8=146 (imp=0.0999); tests_ma4=52.2 (imp=0.0905); tests_trend=-93.5 (imp=0.0295); tests_lag1=62 (imp=0.032),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
CAMPO VERDE,outros,2025,46,0.3335,0.3,True,moderada,59.57,4,backlog_estimado=148 (imp=0.158); indice_pressao_proxy=59.6 (imp=0.0974); tests_ma8=3.5 (imp=0.362); tat_p90_dias=92.4 (imp=0.00902); tests_ma4=2.75 (imp=0.0576),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
PONTES E LACERDA,outros,2026,9,0.3213,0.3,True,moderada,42.41,2,backlog_estimado=97 (imp=0.158); indice_pressao_proxy=42.4 (imp=0.0974); tests_ma8=5.62 (imp=0.362); tat_p90_dias=71.8 (imp=0.00902); tests_ma4=3.5 (imp=0.0576),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
COLIDER,respiratorio,2025,32,0.319,0.85,False,moderada,43.96,3,backlog_estimado=172 (imp=0.248); indice_pressao_proxy=44 (imp=0.184); tat_p90_dias=95.5 (imp=0.013); tests_ma8=6.38 (imp=0.0749); tests_ma4=6.75 (imp=0.032),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
PONTES E LACERDA,tuberculose,2025,42,0.3164,0.44999999999999996,False,moderada,59.95,1,backlog_estimado=623 (imp=0.613); indice_pressao_proxy=60 (imp=0.0691); tat_p90_dias=42.7 (imp=0.0137); tests_ma8=5.88 (imp=0.0398); tests_trend=-3.62 (imp=0.0311),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
SANTO ANTONIO DO LEVERGER,tuberculose,2026,11,0.3164,0.44999999999999996,False,moderada,53.23,1,backlog_estimado=112 (imp=0.613); indice_pressao_proxy=53.2 (imp=0.0691); tat_p90_dias=119 (imp=0.0137); tests_ma8=1.25 (imp=0.0398); tests_ma4=1 (imp=0.0286),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
CAMPINAPOLIS,outros,2025,8,0.3162,0.3,True,moderada,35.24,1,backlog_estimado=29 (imp=0.158); indice_pressao_proxy=35.2 (imp=0.0974); tests_ma8=4.43 (imp=0.362); tat_p90_dias=83.9 (imp=0.00902); tests_ma4=2 (imp=0.0576),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
ALTO TAQUARI,arbovirose,2025,17,0.3104,0.5499999999999999,False,moderada,34.13,5,tests=5 (imp=0.153); indice_pressao_proxy=34.1 (imp=0.0197); tests_ma4=3 (imp=0.0905); tests_ma8=2.6 (imp=0.0999); tests_pct_estadual=0.386 (imp=0.445),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
TERRA NOVA DO NORTE,arbovirose,2025,30,0.3027,0.5499999999999999,False,moderada,37.85,10,backlog_estimado=219 (imp=0.0688); tests=10 (imp=0.153); tests_ma4=16.5 (imp=0.0905); tests_ma8=10.9 (imp=0.0999); indice_pressao_proxy=37.9 (imp=0.0197),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
GENERAL CARNEIRO,arbovirose,2025,11,0.2981,0.5499999999999999,False,moderada,24.7,2,backlog_estimado=59 (imp=0.0688); tests_ma4=21.5 (imp=0.0905); tests_ma8=17.8 (imp=0.0999); tests_lag1=25 (imp=0.032); indice_pressao_proxy=24.7 (imp=0.0197),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
SANTA RITA DO TRIVELATO,arbovirose,2025,24,0.2964,0.5499999999999999,False,moderada,34.43,3,backlog_estimado=24 (imp=0.0688); indice_pressao_proxy=34.4 (imp=0.0197); tests=3 (imp=0.153); tests_ma8=3.25 (imp=0.0999); tests_ma4=3.5 (imp=0.0905),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
TAPURAH,respiratorio,2025,23,0.2943,0.85,False,moderada,43.43,3,indice_pressao_proxy=43.4 (imp=0.184); backlog_estimado=15 (imp=0.248); tat_p90_dias=129 (imp=0.013); tests_ma8=3.71 (imp=0.0749); tests_ma4=3.75 (imp=0.032),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
TANGARA DA SERRA,arbovirose,2025,34,0.2922,0.5499999999999999,False,moderada,53.32,18,backlog_estimado=705 (imp=0.0688); tests=18 (imp=0.153); tests_ma8=17.5 (imp=0.0999); indice_pressao_proxy=53.3 (imp=0.0197); tests_ma4=8.5 (imp=0.0905),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
RONDONOPOLIS,tuberculose,2026,20,0.2916,0.44999999999999996,False,moderada,62.89,1,backlog_estimado=1.2e+03 (imp=0.613); indice_pressao_proxy=62.9 (imp=0.0691); tat_p90_dias=59.6 (imp=0.0137); tests_ma8=1.75 (imp=0.0398); tests_ma4=1 (imp=0.0286),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
CHAPADA DOS GUIMARAES,tuberculose,2026,13,0.2895,0.44999999999999996,False,moderada,52.13,1,backlog_estimado=212 (imp=0.613); indice_pressao_proxy=52.1 (imp=0.0691); tat_p90_dias=164 (imp=0.0137); tests_ma8=1.25 (imp=0.0398); tests_ma4=1 (imp=0.0286),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
DENISE,outros,2025,43,0.2867,0.3,False,moderada,85.89,6,indice_pressao_proxy=85.9 (imp=0.0974); backlog_estimado=28 (imp=0.158); tests_ma8=3.12 (imp=0.362); tat_p90_dias=85.5 (imp=0.00902); tests_ma4=3 (imp=0.0576),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
NOVA MARILANDIA,outros,2026,12,0.2849,0.3,False,moderada,42.11,2,indice_pressao_proxy=42.1 (imp=0.0974); tat_p90_dias=187 (imp=0.00902); tests_ma8=3 (imp=0.362); backlog_estimado=5 (imp=0.158); tests_ma4=2.25 (imp=0.0576),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
CAMPO GRANDE,arbovirose,2025,30,0.2823,0.5499999999999999,False,moderada,1.39,3,tests=3 (imp=0.153); tests_ma4=3.75 (imp=0.0905); tests_ma8=3.12 (imp=0.0999); tests_pct_estadual=0.125 (imp=0.445); tests_lag1=1 (imp=0.032),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
RONDONOPOLIS,outros,2025,35,0.2804,0.3,False,moderada,51.82,4,backlog_estimado=278 (imp=0.158); indice_pressao_proxy=51.8 (imp=0.0974); tests_ma8=3.38 (imp=0.362); tat_p90_dias=73.1 (imp=0.00902); tests_ma4=2.75 (imp=0.0576),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
INDIAVAI,arbovirose,2025,8,0.2692,0.5499999999999999,False,moderada,30.59,2,backlog_estimado=21 (imp=0.0688); indice_pressao_proxy=30.6 (imp=0.0197); tests_ma8=3.33 (imp=0.0999); tests_ma4=3.5 (imp=0.0905); tests=2 (imp=0.153),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
NOVA OLIMPIA,respiratorio,2025,22,0.2639,0.85,False,moderada,42.97,3,indice_pressao_proxy=43 (imp=0.184); backlog_estimado=10 (imp=0.248); tat_p90_dias=60.7 (imp=0.013); tests_ma8=3.6 (imp=0.0749); tests_lag1=6 (imp=0.0398),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
