municipio,prioridade_emergencia,sla_crise,indice_pressao_rede,faixa_pressao,pct_liberado_48h,tat_p90_dias,silencio_gal_alerta,divergencia_gal_notif,acao_sugerida,responsavel,prazo_acao,checklist_operacional
CUIABA,CRÍTICO,True,75.36,critica,0.42480253456557604,151.66638888888892,False,False,"SLA de crise: reforçar liberação ≤48h, triagem de backlog e comunicação CIEVS/LACEN.",CIEVS / Sala de Situação + vigilância municipal,24–48h,1) Conferir % liberado ≤48h e TAT p90; 2) Priorizar backlog; 3) Articular rede municipal; 4) Reavaliar em 48h
TANGARA DA SERRA,ALTO,True,72.37,alta,0.2560662289466172,182.71597222222223,False,False,"SLA de crise: reforçar liberação ≤48h, triagem de backlog e comunicação CIEVS/LACEN.",CIEVS / Sala de Situação + vigilância municipal,24–48h,1) Conferir % liberado ≤48h e TAT p90; 2) Priorizar backlog; 3) Articular rede municipal; 4) Reavaliar em 48h
CAMPO VERDE,ALTO,True,72.2,alta,0.24185053380782917,119.48055555555555,False,False,"SLA de crise: reforçar liberação ≤48h, triagem de backlog e comunicação CIEVS/LACEN.",CIEVS / Sala de Situação + vigilância municipal,24–48h,1) Conferir % liberado ≤48h e TAT p90; 2) Priorizar backlog; 3) Articular rede municipal; 4) Reavaliar em 48h
SORRISO,ALTO,True,68.58,alta,0.26267224909556525,102.32986111111111,False,False,"SLA de crise: reforçar liberação ≤48h, triagem de backlog e comunicação CIEVS/LACEN.",CIEVS / Sala de Situação + vigilância municipal,24–48h,1) Conferir % liberado ≤48h e TAT p90; 2) Priorizar backlog; 3) Articular rede municipal; 4) Reavaliar em 48h
COLIDER,ALTO,False,67.87,alta,0.3000506842372022,92.41458333333334,False,True,Avaliar subutilização da rede e reforçar encaminhamento de amostras em 15 dias.,Vigilância municipal + LACEN,15 dias,1) Comparar exames×notificações; 2) Identificar subutilização; 3) Reforçar encaminhamento laboratorial
LUCAS DO RIO VERDE,ALTO,False,67.56,alta,0.33178869323447635,95.39708333333336,False,True,Avaliar subutilização da rede e reforçar encaminhamento de amostras em 15 dias.,Vigilância municipal + LACEN,15 dias,1) Comparar exames×notificações; 2) Identificar subutilização; 3) Reforçar encaminhamento laboratorial
PONTES E LACERDA,ALTO,True,66.72,alta,0.2587295690936107,86.53194444444445,False,False,"SLA de crise: reforçar liberação ≤48h, triagem de backlog e comunicação CIEVS/LACEN.",CIEVS / Sala de Situação + vigilância municipal,24–48h,1) Conferir % liberado ≤48h e TAT p90; 2) Priorizar backlog; 3) Articular rede municipal; 4) Reavaliar em 48h
CHAPADA DOS GUIMARAES,ALTO,True,65.46,alta,0.24823755607776116,93.65277777777777,False,True,"SLA de crise: reforçar liberação ≤48h, triagem de backlog e comunicação CIEVS/LACEN.",CIEVS / Sala de Situação + vigilância municipal,24–48h,1) Conferir % liberado ≤48h e TAT p90; 2) Priorizar backlog; 3) Articular rede municipal; 4) Reavaliar em 48h
