municipio,municipio_key,internacoes,internacoes_por_100k,sih_semana_ref,cid_familia,indicasus_score,aviso,fonte_internacao,fonte_indicasus
BARRA DO GARCAS,BARRA DO GARCAS,0,0.0,2026-SE26,tuberculose,12.52,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
COMODORO,COMODORO,0,0.0,2026-SE26,,10.15,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
NOVA MUTUM,NOVA MUTUM,0,0.0,2026-SE26,tuberculose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
SANTO ANTONIO DO LEVERGER,SANTO ANTONIO DO LEVERGER,0,0.0,2026-SE26,tuberculose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
BOA ESPERANCA DO NORTE,BOA ESPERANCA DO NORTE,0,,2026-SE26,dengue_arbovirose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
CAMPO NOVO DO PARECIS,CAMPO NOVO DO PARECIS,0,0.0,2026-SE26,,9.05,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
GENERAL CARNEIRO,GENERAL CARNEIRO,0,0.0,2026-SE26,tuberculose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
MARCELANDIA,MARCELANDIA,0,0.0,2026-SE26,hepatite,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
MIRASSOL D''OESTE,MIRASSOL D''OESTE,0,,2026-SE26,tuberculose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
NOVA SANTA HELENA,NOVA SANTA HELENA,0,0.0,2026-SE26,hepatite,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
RIO BRANCO,RIO BRANCO,0,0.0,2026-SE26,tuberculose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
CAMPINAPOLIS,CAMPINAPOLIS,0,0.0,2026-SE26,tuberculose,11.4,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
CAMPO GRANDE,CAMPO GRANDE,0,,2026-SE26,tuberculose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
COLNIZA,COLNIZA,0,0.0,2026-SE26,tuberculose,4.27,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
DENISE,DENISE,0,0.0,2026-SE26,dengue_arbovirose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
ITAPECURU MIRIM,ITAPECURU MIRIM,0,,2026-SE26,tuberculose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
PEIXOTO DE AZEVEDO,PEIXOTO DE AZEVEDO,0,0.0,2026-SE26,hepatite,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
ALTO GARCAS,ALTO GARCAS,0,0.0,2026-SE26,dengue_arbovirose,6.1,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
CERES,CERES,0,,2026-SE26,tuberculose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
COLIDER,COLIDER,0,0.0,2026-SE26,tuberculose,6.23,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
