ano_se,semana_epidemiologica,codigo_ibge,municipio,sla_crise,silencio_gal_alerta,divergencia_gal_notif,faixa_pressao,pressao_alta,indice_pressao_rede,prob_pressao_alta_proxima_janela,faixa_pressao_predita,pressao_predita_acima_limiar,prioridade_emergencia,ts_geracao,tipo_sinal,fonte_stamp
2026,16,5107305.0,SAO JOSE DO RIO CLARO,False,False,False,moderada,False,47.36,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,16,5107925.0,SINOP,False,False,False,alta,True,72.29,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,16,5107958.0,TABAPORA,False,False,False,moderada,False,37.16,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,16,5108006.0,TANGARA DA SERRA,True,False,False,alta,True,72.37,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,16,5108402.0,VARZEA GRANDE,False,False,False,critica,True,80.77,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,17,5102504.0,CACERES,False,False,False,critica,True,76.24,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,17,5102637.0,CAMPO NOVO DO PARECIS,False,False,False,alta,True,71.0,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,17,5103437.0,CUIABA,True,False,False,critica,True,75.36,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,17,5106257.0,NOVA MUTUM,True,False,False,alta,True,63.53,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,17,,PARAGOMINAS,False,False,False,,False,,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,17,5107065.0,PRIMAVERA DO LESTE,False,False,False,alta,True,66.42,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,17,5107701.0,ROSARIO OESTE,False,False,False,moderada,False,47.26,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,17,5107305.0,SAO JOSE DO RIO CLARO,False,False,False,moderada,False,47.36,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,17,5107925.0,SINOP,False,False,False,alta,True,72.29,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,17,5108006.0,TANGARA DA SERRA,True,False,False,alta,True,72.37,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,18,5100508.0,ALTO PARAGUAI,True,False,False,moderada,False,48.36,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,18,5102504.0,CACERES,False,False,False,critica,True,76.24,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,18,5102637.0,CAMPO NOVO DO PARECIS,False,False,False,alta,True,71.0,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,18,5103437.0,CUIABA,True,True,False,critica,True,75.36,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,18,5106851.0,PONTES E LACERDA,True,False,False,alta,True,66.72,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,18,5107925.0,SINOP,False,False,False,alta,True,72.29,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,18,5108006.0,TANGARA DA SERRA,True,True,False,alta,True,72.37,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,18,5108402.0,VARZEA GRANDE,False,False,False,critica,True,80.77,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,19,5101902.0,BRASNORTE,False,False,False,moderada,False,47.94,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,19,5102504.0,CACERES,False,False,False,critica,True,76.24,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,19,5102637.0,CAMPO NOVO DO PARECIS,False,False,False,alta,True,71.0,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
