ano,mes,municipio,cid_familia,n_registros,n_procedimentos
2026,6,CACOAL,dengue_arbovirose,1,1
2026,6,BOA VISTA,dengue_arbovirose,1,1
2026,6,CUIABA,hepatite,37,37
2026,6,JUINA,hepatite,22,22
2026,6,SAO MIGUEL DOS CAMPOS,tuberculose,2,2
2026,6,CHAPECO,hepatite,1,1
2026,6,RIO BRANCO,dengue_arbovirose,1,1
2026,6,HUMAITA,dengue_arbovirose,1,1
2026,6,CAMPO NOVO DE RONDONIA,dengue_arbovirose,1,1
2026,6,CUIABA,tuberculose,122,122
2026,6,SORRISO,tuberculose,34,34
2026,6,CUIABA,dengue_arbovirose,7,7
2026,6,QUIRINOPOLIS,tuberculose,1,1
2026,6,PINHEIROS,tuberculose,1,1
2026,6,MONTES CLAROS,hepatite,1,1
2026,6,MATUPA,tuberculose,1,1
2026,6,PORTO ALEGRE DO NORTE,tuberculose,2,2
2026,6,PEDRA PRETA,dengue_arbovirose,5,7
2026,6,PONTES E LACERDA,hepatite,1,1
2026,6,APUI,dengue_arbovirose,1,1
2026,6,MARCELANDIA,hepatite,2,2
2026,6,TERRA NOVA DO NORTE,tuberculose,1,1
2026,6,SAO JOSE DO POVO,tuberculose,1,1
2026,6,CANARANA,hepatite,5,5
2026,6,TABAPORA,tuberculose,5,5
2026,6,VILA RICA,tuberculose,5,5
2026,6,GUARANTA DO NORTE,hepatite,18,18
2026,6,NOVA CANAA DO NORTE,tuberculose,1,1
2026,6,COTRIGUACU,hepatite,2,2
2026,6,APARECIDA DE GOIANIA,tuberculose,1,1
2026,6,RONDONOPOLIS,dengue_arbovirose,75,75
2026,6,BOM JESUS DO ARAGUAIA,tuberculose,2,2
2026,6,SAPEZAL,dengue_arbovirose,4,12
2026,6,RIBEIRAO CASCALHEIRA,tuberculose,1,1
2026,6,BARRA DO BUGRES,tuberculose,17,17
2026,6,GAUCHA DO NORTE,tuberculose,2,2
2026,6,ALTA FLORESTA,tuberculose,4,4
2026,6,NOVA UBIRATA,tuberculose,1,1
2026,6,TOME-ACU,dengue_arbovirose,1,1
2026,6,ACORIZAL,tuberculose,3,3
2026,6,NOVA MARINGA,tuberculose,1,1
2026,6,PARANAITA,dengue_arbovirose,1,1
